事件ID,事件类型,类型数据
E101011,1,M|300,
E101012,1,E|300,
E101021,1,M|300,
E101022,1,E|300,
E101031,1,M|300,
E101032,1,E|300,
E101033,1,M|300,
E101034,1,E|300,
E201011,4,200|200,
E201012,1,M|300,
E201013,1,E|300,
E101041,1,M|300,
E101042,3,Ins101042,
E101043,1,E|300,
E101044,1,M|300,
E102011,1,E|300,
E102012,1,M|300,
E102013,1,E|300,
E202011,1,M|300,
E102021,1,E|300,
E102022,1,M|300,
E102023,1,E|300,
E102024,1,M|300,
E102031,1,E|300,
E102032,1,M|300,
E102041,1,E|300,
E102042,3,Ins102042,
E102043,3,Ins102043,
E102044,1,M|300,
E102051,1,E|300,
E102052,1,M|300,
E102053,1,E|300,
E102054,1,M|300,
E202021,1,E|300,
E202022,1,M|300,
E104011,1,E|300,
E104012,1,M|300,
E104013,1,E|300,
E104021,1,M|300,
E104022,1,E|300,
E104023,1,E|301,
E104024,3,Ins104024,
E104031,1,E|300,
E104032,1,M|300,
E204011,1,E|300,
E204012,1,M|300,
E105011,1,E|300,
E105021,1,E|301,
E105022,1,E|301,
E105031,4,200|200,
E105032,1,E|301,
E105033,1,E|301,
E105034,1,E|301,
E205011,1,E|301,
E205012,1,E|301,
E105041,1,E|301,
E105042,1,E|301,
E205021,1,E|301,
E205022,1,E|301,
E105051,1,E|301,
E105052,1,E|301,
E105053,1,E|301,
E105061,4,200|200,
E105062,1,E|301,
E105063,1,E|301,
E205031,1,E|301,
E205032,1,E|301,
E106011,1,E|301,
E106012,1,E|301,
E106021,3,Ins104024,
E106022,1,E|301,
E106031,1,M|300,
E106032,1,E|301,
E106041,1,M|300,
E106042,3,Ins104024,
E106043,1,M|300,
E106051,1,E|301,
E106052,1,M|300,
E107011,3,Ins104024,
E107012,1,M|300,
E107013,1,E|301,
E107021,1,M|300,
E107022,1,E|301,
E107031,1,M|300,
E107032,1,E|301,
E207011,1,M|300,
E207012,1,E|301,
E107041,1,M|300,
E107042,1,E|301,
E107043,1,M|300,
E107051,1,E|301,
E107052,1,M|300,
E107053,1,E|301,
E207021,1,M|300,
E207031,1,E|301,
E207041,1,M|300,
E207051,1,E|301,
E108011,1,M|300,
E108012,3,Ins104024,
E108013,3,Ins104024,
E108014,1,E|301,
E108021,1,M|300,
E108022,4,200|200,
E108023,4,200|200,
E108024,1,E|301,
E108031,1,M|300,
E108032,1,E|301,
E108041,1,M|300,
E108042,1,E|301,
E108051,1,M|300,
E108052,1,E|301,
E108061,1,M|300,
E108062,1,E|301,
E208011,1,M|300,
E208021,1,E|301,
E208031,1,M|300,
E208041,1,E|301,
E109011,1,M|300,
E109021,1,E|301,
E109022,1,M|300,
E109023,1,E|301,
E109031,4,200|200,
E109032,4,200|200,
E109033,4,200|200,
E109034,1,E|301,
E109035,1,M|300,
E109036,1,E|301,
E109041,1,M|300,
E109042,3,Ins104024,
E109043,1,M|300,
E109051,1,E|301,
E109052,1,M|300,
E209011,1,E|301,
E209012,1,M|300,
E209013,4,200|200,
E209014,1,M|300,
E110011,1,E|301,
E110012,1,M|300,
E110021,1,E|301,
E110022,1,M|300,
E110031,1,E|301,
E110032,1,M|300,
E111011,1,E|301,
E111012,1,M|300,
E111021,1,E|301,
E111022,1,M|300,
E111023,1,E|301,
E111024,1,M|300,
E111031,1,E|301,
E111032,1,M|300,
E111033,1,E|301,
E111041,2,,
E111042,1,E|301,
E211011,2,,
E112011,1,E|301,
E112012,1,M|300,
E112013,1,E|301,
E112014,1,M|300,
E112021,1,E|301,
E112022,1,M|300,
E112023,1,E|301,
E112024,1,M|300,
E112031,1,E|301,
E112032,1,M|300,
E112041,1,E|301,
E112042,1,M|300,
E112043,1,E|301,
E112044,3,Ins104024,
E212011,1,E|301,
E113011,1,M|300,
E113012,1,E|301,
E113013,1,M|300,
E113021,1,E|301,
E113022,1,M|300,
E213011,1,E|301,
E213012,1,M|300,
E213013,1,E|301,
E113031,1,M|300,
E113032,1,E|301,
E113041,1,M|300,
E113042,3,Ins104024,
E113043,1,M|300,
E114011,1,E|301,
E114021,4,200|200,
E114022,4,200|200,
E114023,4,200|200,
E114024,1,E|301,
E114025,1,M|300,
E114031,1,E|301,
E114032,3,Ins104024,
E114033,1,E|301,
E114041,1,M|300,
E114042,1,E|301,
E115011,1,M|300,
E115012,3,Ins104024,
E115013,1,M|300,
E115021,1,E|301,
E115031,1,M|300,
E115032,3,Ins104024,
E115033,3,Ins104024,
E115034,1,E|301,
E115041,1,M|300,
E115042,1,E|301,
E215011,1,M|300,
E116011,1,E|301,
E116012,1,M|300,
E116013,1,E|301,
E116021,1,M|300,
E116022,1,E|301,
E116023,4,200|200,
E116024,1,E|301,
E116031,1,M|300,
E116032,1,E|301,
E116033,4,200|200,
E116034,1,E|301,
E216011,3,Ins104024,
E216012,3,Ins104024,
E216013,3,Ins104024,
E216014,3,Ins104024,
E216015,1,M|300,
E216016,4,200|200,
E216017,1,M|300,
E216018,1,M|300,
