物品ID - Item ID,显示名称,物品说明,美术资源,价格,品质,使用等级,最大堆叠数量,是否绑定,是否可放入仓库,是否买卖,是否可丢弃,销毁时间,物品等级,使用效果ID,
D010101,初级溶解剂,武器升级的必需品，用来调和能量波动,D010101,50,1,1,99,1,1,1,1,-1,1,,
D010102,次级溶解剂,武器升级的必需品，用来调和能量波动,D010102,50,1,1,99,1,1,1,1,-1,1,,
D010103,中级溶解剂,武器升级的必需品，用来调和能量波动,D010103,50,1,1,99,1,1,1,1,-1,1,,
D010104,高级溶解剂,武器升级的必需品，用来调和能量波动,D010104,50,1,1,99,1,1,1,1,-1,1,,
D010105,万能溶解剂,武器升级的必需品，用来调和能量波动,D010105,50,1,1,99,1,1,1,1,-1,1,,
D010201,能量水晶,武器升级所需的能量晶石,D010201,50,1,1,99,1,1,1,1,-1,1,,
D010202,风速精华,武器升级材料，可以把能量转化成速度,D010202,50,1,1,99,1,1,1,1,-1,1,,
D010203,坚韧结晶,武器升级材料，可以把能量转化成护甲,D010203,50,1,1,99,1,1,1,1,-1,1,,
D010204,大地结晶,武器升级材料，可以把能量转化成生命,D010204,50,1,1,99,1,1,1,1,-1,1,,
D010205,幸运结晶,武器升级材料，可以把能量转化成幸运,D010205,50,1,1,99,1,1,1,1,-1,1,,
D010206,魔力之尘,武器升级材料，可以把能量转化成攻击,D010206,50,1,1,99,1,1,1,1,-1,1,,
D020101,初级藏宝图,进入神秘副本必备，需要碎片合成,D020101,20,1,1,99,1,1,1,1,-1,1,,
D020102,中级藏宝图,进入神秘副本必备，需要碎片合成,D020102,20,1,1,99,1,1,1,1,-1,1,,
D020103,远古藏宝图,进入神秘副本必备，需要碎片合成,D020103,20,1,1,99,1,1,1,1,-1,1,,
D020104,星韵藏宝图,进入神秘副本必备，需要碎片合成,D020104,20,1,1,99,1,1,1,1,-1,1,,
D020201,初级地图片,藏宝图的一部分，凑齐一定数量可以合成藏宝图,D020201,20,1,1,99,1,1,1,1,-1,1,,
D020202,中级地图片,藏宝图的一部分，凑齐一定数量可以合成藏宝图,D020202,20,1,1,99,1,1,1,1,-1,1,,
D020203,远古地图片,藏宝图的一部分，凑齐一定数量可以合成藏宝图,D020203,20,1,1,99,1,1,1,1,-1,1,,
D020204,星蕴地图片,藏宝图的一部分，凑齐一定数量可以合成藏宝图,D020204,20,1,1,99,1,1,1,1,-1,1,,
D030101,精铁宝箱,精铁制作的宝盒，简单朴实，需要精铁钥匙开启,D030101,20,1,1,99,1,1,1,1,-1,1,,
D030102,青铜宝箱,青铜制作的宝盒，做工不俗，需要青铜钥匙开启,D030102,20,1,1,99,1,1,1,1,-1,1,,
D030103,白银宝箱,白银制作的宝盒，古朴陈旧，需要白银钥匙开启,D030103,20,1,1,99,1,1,1,1,-1,1,,
D030104,黄金宝箱,黄金制作的宝盒，璀璨生辉，需要黄金钥匙开启,D030104,20,1,1,99,1,1,1,1,-1,1,,
D030105,月光宝盒,隐约透着月光精华的宝盒，需要月光之匙开启,D030105,20,1,1,99,1,1,1,1,-1,1,,
D030201,精铁钥匙,精铁制作的钥匙，做工简单，能够开启精铁宝箱,D030201,20,1,1,99,1,1,1,1,-1,1,,
D030202,青铜钥匙,青铜制作的钥匙，做工不俗，能够开启青铜宝箱,D030202,20,1,1,99,1,1,1,1,-1,1,,
