ID,显示名称,阵型0,阵型1,阵型2,阵型3,阵型4,阵型5,阵型6
MG101011,,M10101,,,,,,
MG101012,,M10101,,,,,,
MG101013,,M10101,,,,,,
MG101014,,M10101,,,,,,
MG101015,,M10102,,,,,,
MG101021,,M10103,,,,,,
MG101022,,M10102,,,,,,
MG101023,,M10103,,,,,,
MG101024,,M10102,,,,,,
MG101025,,M10102,,,,,,
MG101026,,M10103,,,,,,
MG101031,,M10103,,,,,,
MG101032,,M10104,,,,,,
MG101033,,M10103,,,,,,
MG101034,,M10104,,,,,,
MG101035,,M10104,,,,,,
MG101041,,M10105,,,,,,
MG101042,,M10106,,,,,,
MG101043,,M10105,,,,,,
MG101044,,M10106,,,,,,
MG101045,,M10105,,,,,,
MG101046,,M10106,,,,,,
MG101047,,M10106,,,,,,
MG201011,,M10104,,,,,,
MG201012,,M20101,,,,,,
MG102011,,,,M10201,,,,M10201
MG102012,,M10201,M10201,,,,,
MG102013,,,M10203,M10202,,,,
MG102014,,M10202,M10202,,,,,
MG102015,,,,,M10203,,M10203,
MG102016,,M10203,M10202,,,,,
MG102021,,,,M10204,,,,M10205
MG102022,,,,,M10204,,M10205,
MG102023,,,,,M10204,,M10204,
MG102024,,,,M10205,,,,M10205
MG102025,,M10204,M10205,,,,,
MG102031,,M10206,,,,M10206,,
MG102032,,,,M10207,,,,M10207
MG102033,,,,,,,,
MG102034,,M10206,M10207,,,,,
MG102035,,,,,M10206,,M10207,
MG102036,,,,M10206,M10207,,,
MG102041,,,,M10208,,,,M10208
MG102042,,M10209,,M10209,M10209,,,
MG102043,,M10210,,M10209,,,,
MG102044,,,,,M10210,,,M10210
MG102045,,,,M10209,,,M10208,
MG102046,,,,,M10210,,,M10209
MG102047,,M10210,M10210,,,,,
MG102051,,M10210,M10210,,,,,
MG102052,,,,M10209,,,,M10209
MG102053,,,,,M10208,,,M10209
MG102054,,,,,M10209,,M10208,
MG102055,,,M10209,M10208,,,,
MG102056,,,M10210,,,M10208,,
MG202011,,M20201,,,,M20202,,
MG202021,,,,M20203,,,,M20203
MG202022,,M20204,M20203,,,,,
MG104011,,M10401,,,,M10401,,
MG104012,,,M10401,,,,,M10401
MG104013,,,,M10401,,,,M10404
MG104014,,M10401,,,,M10404,,
MG104015,,,,M10401,,,,M10401
MG104016,,,,M10401,M10404,,,
MG104017,,M10402,M10401,,,,,
MG104021,,,,M10403,,,,M10401
MG104022,,M10401,M10404,,,,,
MG104023,,,,,M10401,,M10404,
MG104024,,M10401,,,M10404,,,
MG104025,,,M10404,,,M10403,,
MG104026,,M10403,,,,M10402,,
MG104031,,M10401,M10404,,,,,
MG104032,,,,M10403,,,,M10401
MG104033,,,,,M10402,,,
MG104034,,,,M10403,M10402,,M10404,
MG104035,,M10402,,,,M10402,,
