怪物ID,,怪物名称（name）,等级（LV）,美术资源（res of animation）,怪物类别,攻击方式（attack distance）,生命（HP）,攻击（Atc）,防御（Def）,速度（Speed）,幸运（Focus）,闪避（dodge）,反击（Fight back）,格挡（block）,暴击（crit）,经验（Exp）,金钱（Money）,物品1（Item1）,物品2（Item2）,物品2（Item2）
M10101,1,小水泡泡,1,水泡泡,0,0,147,41,100,40,25,18,4,8,40,30,,,,
M10102,1,小幽灵,2,水鬼,0,1,250,60,25,60,50,4,5,9,30,50,,,,
M10103,1,小火球,3,火焰史莱姆,0,1,280,75,35,75,55,3,5,9,33,65,,,,
M10104,1,大脸怪,5,大脸怪,1,1,400,40,120,75,34,10,3,5,30,95,,,,
M20101,1,大虫子,9,冰晶虫,1,0,500,70,95,75,50,3,6,9,30,200,,,,
M10105,1,水泡泡,6,水泡泡,0,0,400,80,40,60,40,15,3,7,32,140,,,,
M10106,1,幽灵,7,水鬼,0,1,430,100,45,80,80,3,7,9,30,180,,,,
M10201,2,小青年,8,青年,0,1,2130,150,88,3125,7,1.8,1.7,1.85,1.89,20,,,,
M10202,2,码头侍卫,8,炎城侍卫,0,1,2530,140,84,3225,7,1.85,1.75,1.9,2,25,,,,
M10203,2,码头法师,8,传送阵维护者,0,0,2678,145,94,2857,8,1.9,1.8,2,2.1,30,,,,
M20201,2,铁拳,10,铁拳,1,1,3024,475,140,2500,15,2.5,2.65,3,3,70,,,,
M20202,2,寨主,10,寨主,1,0,3024,414,150,2325,16,2.8,2.55,3.1,3.3,75,,,,
M10204,2,巨脸,10,大脸怪,0,1,2809,225,125,2941,9,2.1,1.9,2.1,2.2,35,,,,
M10205,2,火蛋蛋,10,火焰史莱姆,0,1,2956,278,130,3030,9,2.2,1.95,2.2,2.3,40,,,,
M10206,2,小树人,11,树妖,0,1,3024,315,145,3030,10,2.35,2,2.3,2.5,45,,,,
M10207,2,水球球,11,水泡泡,0,0,3456,298,124,2941,10,2.55,2.05,2.4,2.6,50,,,,
M10208,2,礁石怪,12,大脸怪,0,1,3578,311,100,2857,10,2.85,2.1,2.5,2.7,55,,,,
M10209,2,海魂,12,水鬼,0,1,3736,333,123,3333,11,2.9,2.3,2.6,2.8,60,,,,
M10210,2,海树妖,12,树妖,0,1,4115,355,109,3571,11,2.95,2.5,2.7,2.9,65,,,,
M20203,2,硬壳虫,14,冰晶虫,1,0,4728,300,180,2173,15,3.75,3.5,5,4,80,,,,
M20204,2,雪人,15,大雪人,1,0,5050,400,185,2857,16,4,4,5.5,4.3,85,,,,
M10401,4,石脸怪,13,大脸怪,0,1,4335,377,137,2941,10,3,2.7,2.8,3,20,,,,
M10402,4,火魂,15,火魔,1,0,5634,534,164,2500,12,3.2,3,3.3,3.3,110,,,,
M10403,4,幽鬼,14,水鬼,0,1,4879,421,154,2380,11,3.1,2.9,3.1,3.2,60,,,,
M10404,4,水灵,13,水泡泡,0,0,4555,387,141,2857,10,3.05,2.8,2.9,3.1,25,,,,
M20401,4,发疯的女孩,16,女孩,1,1,7203,647,172,2380,15,5,5,5,5,150,,,,
M10501,5,龙狗,15,狗龙,0,1,5239,434,294,2564,12,3.3,3.1,3.4,3.4,20,,,,
M10502,5,仙人掌,16,仙人掌,0,1,5431,401,194,2000,13,3.5,3.3,3.6,3.6,30,,,,
M10503,5,飞廉怪,16,飞廉怪,0,0,5983,489,374,2325,13,3.7,3.4,3.7,3.7,40,,,,
M10504,5,大头怪,17,野猪怪,1,1,6098,489,304,2439,14,3.8,3.5,3.9,3.8,50,,,,
M10505,5,水晶虫,17,冰晶虫,0,0,4980,659,237,2702,14,3.9,3.6,4.1,3.9,60,,,,
M20501,5,血妖,18,血妖,1,1,7394,538,374,2222,20,5.5,5.5,6.5,6,120,,,,
M10506,5,老树精,17,树妖,0,1,5893,567,289,2380,14,4.1,3.7,4.2,4,75,,,,
M20502,5,灵魂医士,19,灵魂医士,1,0,7684,688,384,2173,22,5.9,6,7,6.5,130,,,,
M20503,5,小师妹,18,小师妹,1,0,9203,498,364,2127,21,5.8,5.9,6.5,6,140,,,,
M20504,5,随从,18,传送阵维护者,1,0,7384,433,435,1694,21,7,5.7,7,6,150,,,,
M10507,5,火灵,17,火焰史莱姆,0,1,5938,528,301,2325,14,4.3,3.75,4.3,4.1,80,,,,
M10508,5,雪怪,17,大雪人,0,0,6384,586,378,2272,14,4.4,3.8,4.4,4.2,50,,,,
M10509,5,小恶魔,17,小恶魔,0,0,6738,637,429,2222,15,4.6,3.85,4.5,4.3,45,,,,
M10510,5,沙虫,18,沙虫,0,1,7923,689,478,2173,15,4.7,4,4.6,4.5,40,,,,
M20505,5,蝙蝠妖,20,蝙蝠妖,1,1,8120,638,684,1851,21,6.5,6.5,8,7,110,,,,
M10601,6,镰刀杀手,19,飞廉怪,0,0,8394,728,446,2127,15,4.75,4.1,4.7,4.6,50,,,,
M10602,6,狗龙,19,狗龙,0,1,8495,736,452,2083,15,4.8,4.2,4.8,4.7,100,,,,
M10603,6,猪头怪,20,野猪怪,0,1,9012,832,493,1923,16,4.9,4.4,4.9,4.8,150,,,,
