商店ID,物品1,物品2,物品3,物品4,物品5,物品6,物品7,物品8,物品9,物品10,物品11,物品12,物品13,物品14,物品15,物品16,物品17,物品18,物品19,物品20,物品21,物品22,物品23,物品24,物品25,物品26,物品27,物品28,物品29,物品30,物品31,物品32
SH01,E10111,E10112,E10113,E10114,E10115,E10116,W1011001,W1011002,W1011003,W1011004,,,,,,,,,,,,,,,,,,,,,,
SH02,E10111,E10112,E10113,E10114,E10115,E10116,W1011005,W1011006,W1011007,W1011008,,,,,,,,,,,,,,,,,,,,,,
SH03,E10111,E10112,E10113,E10114,E10115,E10116,W1011009,W1011010,W1012001,W1012002,,,,,,,,,,,,,,,,,,,,,,
SH04,E10111,E10112,E10113,E10114,E10115,E10116,W1012003,W1012004,W1012005,W1012006,,,,,,,,,,,,,,,,,,,,,,
SH05,E10111,E10112,E10113,E10114,E10115,E10116,W1011001,W1011002,W1011003,W1011004,,,,,,,,,,,,,,,,,,,,,,
SH06,E10111,E10112,E10113,E10114,E10115,E10116,W1011005,W1011006,W1011007,W1011008,,,,,,,,,,,,,,,,,,,,,,
SH07,E10111,E10112,E10113,E10114,E10115,E10116,W1011009,W1011010,W1012001,W1012002,,,,,,,,,,,,,,,,,,,,,,
SH08,E10111,E10112,E10113,E10114,E10115,E10116,W1012003,W1012004,W1012005,W1012006,,,,,,,,,,,,,,,,,,,,,,
SH09,E10111,E10112,E10113,E10114,E10115,E10116,W1011001,W1011002,W1011003,W1011004,,,,,,,,,,,,,,,,,,,,,,
SH10,E10111,E10112,E10113,E10114,E10115,E10116,W1011005,W1011006,W1011007,W1011008,,,,,,,,,,,,,,,,,,,,,,
SH11,E10111,E10112,E10113,E10114,E10115,E10116,W1011009,W1011010,W1012001,W1012002,,,,,,,,,,,,,,,,,,,,,,
SH12,E10111,E10112,E10113,E10114,E10115,E10116,W1012003,W1012004,W1012005,W1012006,,,,,,,,,,,,,,,,,,,,,,
SH13,B1011|5,B1012|5,B1013|5,B1014|5,B1015|5,B2101|5,B2102|5,B2103|5,B2104|5,B2105|5,B3201|5,B3202|5,B3203|5,B3204|5,B3205|5,B4301|5,B4302|5,B4303|5,B4304|5,B4305|5,B5401|5,B5402|5,B5403|5,B5404|5,B5405|5,,,,,,,
SH14,D10040101|5,D10040102|5,D10040103|5,D10040104|5,D10040105|5,D10050101|5,D10050102|5,D10050103|5,D10050104|5,D10050105|5,D10060101|5,D10060102|5,D10060103|5,D10060104|5,D10060105|5,D11070101|5,D11070102|5,D11070103|5,D11070104|5,D11070105|5,D11070106|5,D11070107|5,D11070108|5,D11070109|5,D11070110|5,,,,,,,
SH15,D10030101|20,D10030102|20,D10030103|20,D10030104|20,D10030105|20,D10030106|20,D10030107|20,D10030108|20,D10030109|20,D10030110|20,D10030111|20,D10030112|20,D10030113|20,D10030114|20,,,,,,,,,,,,,,,,,,
SH16,D11070111,D11070112,D11070113,D11070114,D11070115,D11070116,D11070117,D11070118,D11070119,D11070120,D11070121,D11070122,D11070123,D11070124,D11070125,D11070126,D11070127,D11070128,D11070129,D11070130,D11070131,D11070132,,,,,,,,,,
