ID,等级,序号,效果,目标类型,作用目标,持续回合,持续次数,数值类型,作用数值
XG011111,1,1,20,2,,,,2,75
XG011121,2,1,20,2,,,,2,120
XG011131,3,1,20,2,,,,2,170
XG011141,4,1,20,2,,,,2,250
XG011211,1,1,20,2,,,,2,40
XG011221,2,1,20,2,,,,2,90
XG011222,2,2,12,8,1,,,2,10
XG011231,3,1,20,2,,,,2,140
XG011232,3,2,12,8,1,,,2,15
XG011241,4,1,20,2,,,,2,190
XG011242,4,2,12,8,1,,,2,20
XG011311,1,1,20,2,,,,2,50
XG011312,1,2,6,2,,3,,1,-2
XG011321,2,1,20,2,,,,2,100
XG011322,2,2,6,2,,3,,1,-4
XG011331,3,1,20,2,,,,2,150
XG011332,3,2,6,2,,3,,1,-6
XG011341,4,1,20,2,,,,2,200
XG011342,4,2,6,2,,3,,1,-8
XG012111,1,1,11,1,,,,2,1
XG012121,2,1,11,1,,,,2,2
XG012131,3,1,11,1,,,,2,3
XG012141,4,1,11,1,,,,2,4
XG012211,1,1,8,1,,,,2,1
XG012221,2,1,8,1,,,,2,2
XG012231,3,1,8,1,,,,2,3
XG012241,4,1,8,1,,,,2,4
XG012311,1,1,6,1,,,,1,1
XG012321,2,1,6,1,,,,1,2
XG012331,3,1,6,1,,,,1,3
XG012341,4,1,6,1,,,,1,4
XG012411,1,1,24,1,,,,2,focus
XG012421,2,1,24,1,,,,2,2*focus
XG012431,3,1,24,1,,,,2,4*focus
XG012441,4,1,24,1,,,,2,8*focus
XG012511,1,1,25,,,,,,
XG012521,2,1,25,,,,,,
XG012531,3,1,25,,,,,,
XG012541,4,1,25,,,,,,
XG021111,1,1,20,2,,,,2,50
XG021121,2,1,20,2,,,,2,100
XG021131,3,1,20,2,,,,2,150
XG021132,3,2,12,8,1,,,2,5
XG021141,4,1,20,2,,,,2,200
XG021142,4,2,12,8,1,,,2,10
XG021211,1,1,4,1,,2,,2,5
XG021221,2,1,4,1,,3,,2,7
XG021231,3,1,4,1,,4,,2,10
XG021241,4,1,4,1,,5,,2,15
XG021311,1,1,20,2,,,,2,40
XG021312,1,2,4,2,,,4,2,-10
XG021321,2,1,20,2,,,,2,100
XG021322,2,2,4,2,,,4,2,-10
XG021331,3,1,20,2,,,,2,160
XG021332,3,2,4,2,,,4,2,-10
XG021341,4,1,20,2,,,,2,220
XG021342,4,2,4,2,,,4,2,-10
XG022111,1,1,11,1,,,,2,1
XG022121,2,1,11,1,,,,2,2
XG022131,3,1,11,1,,,,2,3
XG022141,4,1,11,1,,,,2,4
XG022211,1,1,17,1,,,,2,focus
XG022221,2,1,17,1,,,,2,2*focus
XG022231,3,1,17,1,,,,2,3*focus
XG022241,4,1,17,1,,,,2,4*focus
XG022311,1,1,2,1,,,,2,3
XG022321,2,1,2,1,,,,2,5
XG022331,3,1,2,1,,,,2,7
XG022341,4,1,2,1,,,,2,10
XG022411,1,1,25,,,,,,
XG022421,2,1,25,,,,,,
XG022431,3,1,25,,,,,,
XG022441,4,1,25,,,,,,
XG022511,1,1,18,1,,,,2,5
XG022521,2,1,18,1,,,,2,10
XG022531,3,1,18,1,,,,2,15
XG022541,4,1,18,1,,,,2,20
XG031111,1,1,20,6,1,,,2,70
XG031112,1,2,15,6,1,2,,,
XG031121,2,1,20,6,2,,,2,90
XG031122,2,2,15,6,2,2,,,
XG031131,3,1,20,6,3,,,2,120
XG031132,3,2,15,6,3,2,,,
XG031141,4,1,20,6,4,,,2,140
XG031142,4,2,15,6,4,2,,,
XG031211,1,1,20,2,,,,2,50
XG031212,1,2,14,2,,,1,,
XG031221,2,1,20,2,,,,2,100
XG031222,2,2,14,2,,,1,,
XG031231,3,1,20,2,,,,2,150
XG031232,3,2,14,2,,,1,,
XG031241,4,1,20,2,,,,2,200
XG031242,4,2,14,2,,,1,,
XG031311,1,1,20,2,,,,2,40
XG031312,1,2,16,2,,,1,,
XG031321,2,1,20,2,,,,2,80
XG031322,2,2,16,2,,,1,,
XG031331,3,1,20,2,,,,2,120
XG031332,3,2,16,2,,,1,,
XG031341,4,1,20,2,,,,2,160
XG031342,4,2,16,2,,,1,,
XG032111,1,1,,,,,,,
XG032121,2,1,,,,,,,
XG032131,3,1,,,,,,,
XG032141,4,1,,,,,,,
XG032211,1,1,11,1,,,,2,1
XG032221,2,1,11,1,,,,2,2
XG032231,3,1,11,1,,,,2,3
XG032241,4,1,11,1,,,,2,4
XG032311,1,1,10,1,,,,2,1
XG032321,2,1,10,1,,,,2,2
XG032331,3,1,10,1,,,,2,3
XG032341,4,1,10,1,,,,2,4
XG032411,1,1,,,,,,,
XG032421,2,1,,,,,,,
XG032431,3,1,,,,,,,
XG032441,4,1,,,,,,,
XG032511,1,1,25,,,,,,
XG032521,2,1,25,,,,,,
XG032531,3,1,25,,,,,,
XG032541,4,1,25,,,,,,
XG041111,1,1,20,6,1,,,2,40
XG041112,1,2,4,6,1,,3,2,-8
XG041121,2,1,20,6,2,,,2,90
XG041122,2,2,4,6,2,,3,2,-8
XG041131,3,1,20,6,3,,,2,130
XG041132,3,2,4,6,3,,3,2,-8
XG041141,4,1,20,6,4,,,2,160
XG041142,4,2,4,6,4,,3,2,-8
XG041211,1,1,1,5,1,,,2,5
XG041221,2,1,1,5,2,,,2,10
XG041231,3,1,1,5,3,,,2,15
XG041241,4,1,1,5,4,,,2,20
XG041311,1,1,1,5,1,,,2,35
XG041312,1,2,4,1,,,,2,-15
XG041321,2,1,1,5,2,,,2,45
XG041322,2,2,4,1,,,,2,-15
XG041331,3,1,1,5,4,,,2,55
XG041332,3,2,4,1,,,,2,-15
XG041341,4,1,1,5,4,, ,2,65
XG041342,4,2,4,1,,,,2,-15
XG042111,1,1,,,,,,,
XG042121,2,1,,,,,,,
XG042131,3,1,,,,,,,
XG042141,4,1,,,,,,,
XG042211,1,1,7,1,,,,2,1
XG042221,2,1,7,1,,,,2,2
XG042231,3,1,7,1,,,,2,3
XG042241,4,1,7,1,,,,2,4
XG042311,1,1,10,1,,,,2,1
XG042321,2,1,10,1,,,,2,2
XG042331,3,1,10,1,,,,2,3
XG042341,4,1,10,1,,,,2,4
XG042411,1,1,25,,,,,,
XG042421,2,1,25,,,,,,
XG042431,3,1,25,,,,,,
XG042441,4,1,25,,,,,,
XG042511,1,1,25,,,,,,
XG042521,2,1,25,,,,,,
XG042531,3,1,25,,,,,,
XG042541,4,1,25,,,,,,
XG051111,1,1,20,2,,,,2,50
XG051112,1,2,14,2,,,1,,
XG051121,2,1,20,2,,,,2,100
XG051122,2,2,14,2,,,1,,
XG051131,3,1,20,2,,,,2,150
XG051132,3,2,14,2,,,2,,
XG051141,4,1,20,2,,,,2,200
XG051142,4,2,14,2,,,2,,
XG051211,1,1,4,3,,,1,1,99999
XG051212,1,2,21,,,,1,2,10
XG051221,2,1,4,3,,,1,1,99999
XG051222,2,2,21,,,,1,2,15
XG051231,3,1,4,3,,,2,1,99999
XG051232,3,2,21,,,,2,2,20
XG051241,4,1,4,3,,,2,1,99999
XG051242,4,2,21,,,,2,2,25
XG051311,1,1,5,1,,2,,2,10
XG051321,2,1,5,1,,3,,2,15
XG051331,3,1,5,1,,4,,2,20
XG051341,4,1,5,1,,5,,2,25
XG052111,1,1,8,1,,,,2,1
XG052121,2,1,8,1,,,,2,2
XG052131,3,1,8,1,,,,2,3
XG052141,4,1,8,1,,,,2,4
XG052211,1,1,4,1,,,,2,focus
XG052221,2,1,4,1,,,,2,2*focus
XG052231,3,1,4,1,,,,2,4*focus
XG052241,4,1,4,1,,,,2,8*focus
XG052311,1,1,18,1,,,,2,5
XG052321,2,1,18,1,,,,2,10
XG052331,3,1,18,1,,,,2,15
XG052341,4,1,18,1,,,,2,20
XG052411,1,1,25,,,,,,
XG052421,2,1,25,,,,,,
XG052431,3,1,25,,,,,,
XG052441,4,1,25,,,,,,
XG061111,1,1,20,4,,,,2,40
XG061112,1,2,8,4,,,6,2,-20
XG061121,2,1,20,4,,,,2,70
XG061122,2,2,8,4,,,6,2,-20
XG061131,3,1,20,4,,,,2,100
XG061132,3,2,8,4,,,6,2,-20
XG061141,4,1,20,4,,,,2,130
XG061142,4,2,8,4,,,6,2,-20
XG061211,1,1,11,3,,,5,2,50
XG061221,2,1,11,3,,,5,2,100
XG061231,3,1,11,3,,,5,2,200
XG061241,4,1,11,3,,,5,2,300
XG061311,1,1,20,4,,,,2,50
XG061312,1,2,10,4,,,5,2,-15
XG061321,2,1,20,4,,,,2,100
XG061322,2,2,10,4,,,5,2,-15
XG061331,3,1,20,4,,,,2,150
XG061332,3,2,10,4,,,5,2,-15
XG061341,4,1,20,4,,,,2,200
XG061342,4,2,10,4,,,5,2,-15
XG062111,1,1,7,1,,,,2,1
XG062121,2,1,7,1,,,,2,2
XG062131,3,1,7,1,,,,2,3
XG062141,4,1,7,1,,,,2,4
XG062211,1,1,,,,,,,
XG062221,2,1,,,,,,,
XG062231,3,1,,,,,,,
XG062241,4,1,,,,,,,
XG062311,1,1,10,1,,,,2,1
XG062321,2,1,10,1,,,,2,2
XG062331,3,1,10,1,,,,2,3
XG062341,4,1,10,1,,,,2,4
XG062411,1,1,25,,,,,,
XG062421,2,1,25,,,,,,
XG062431,3,1,25,,,,,,
XG062441,4,1,25,,,,,,
XG071111,1,1,20,6,1,,,2,30
