ID,技能名称,主动攻击,被普通攻击击中,被技能击中,金币,等级,技能,物品,技能
SK01111,,15,3,6,0,0,,,SK01112
SK01112,,14,3,6,1000,,,,SK01113
SK01113,,13,3,6,2000,,,,SK01114
SK01114,,12,3,6,3000,,,,
SK01121,,15,3,6,0,10,,,SK01122
SK01122,,15,3,6,1000,,,,SK01123
SK01123,,14,3,6,2000,,,,SK01124
SK01124,,14,3,6,3000,,,,
SK01131,,13,3,6,0,20,,book,SK01132
SK01132,,12,3,6,1000,,,,SK01133
SK01133,,11,3,6,2000,,,,SK01134
SK01134,,10,3,6,3000,,,,
SK01211,,,,,0,0,,,SK01212
SK01212,,,,,1000,,,,SK01213
SK01213,,,,,2000,,,,SK01214
SK01214,,,,,3000,,,,
SK01221,,,,,0,5,,,SK01222
SK01222,,,,,1000,,,,SK01223
SK01223,,,,,2000,,,,SK01224
SK01224,,,,,3000,,,,
SK01231,,,,,0,10,,,SK01232
SK01232,,,,,1000,,,,SK01233
SK01233,,,,,2000,,,,SK01234
SK01234,,,,,3000,,,,
SK01241,,,,,0,15,,,SK01242
SK01242,,,,,1000,,,,SK01243
SK01243,,,,,2000,,,,SK01244
SK01244,,,,,3000,,,,
SK01251,,,,,0,20,,,SK01252
SK01252,,,,,1000,,,,SK01253
SK01253,,,,,2000,,,,SK01254
SK01254,,,,,3000,,,,
SK02111,,15,3,6,0,0,,,SK02112
SK02112,,15,3,6,1000,,,,SK02113
SK02113,,14,3,6,2000,,,,SK02114
SK02114,,14,3,6,3000,,,,
SK02121,,13,3,6,0,10,,,SK02122
SK02122,,12,3,6,1000,,,,SK02123
SK02123,,10,3,6,2000,,,,SK02124
SK02124,,9,3,6,3000,,,,
SK02131,,13,3,6,0,20,,,SK02132
SK02132,,12,3,6,1000,,,,SK02133
SK02133,,11,3,6,2000,,,,SK02134
SK02134,,10,3,6,3000,,,,
SK02211,,,,,0,0,,,SK02212
SK02212,,,,,1000,,,,SK02213
SK02213,,,,,2000,,,,SK02214
SK02214,,,,,3000,,,,
SK02221,,,,,0,5,,,SK02222
SK02222,,,,,1000,,,,SK02223
SK02223,,,,,2000,,,,SK02224
SK02224,,,,,3000,,,,
SK02231,,,,,0,10,,,SK02232
SK02232,,,,,1000,,,,SK02233
SK02233,,,,,2000,,,,SK02234
SK02234,,,,,3000,,,,
SK02241,,,,,0,15,,,SK02242
SK02242,,,,,1000,,,,SK02243
SK02243,,,,,2000,,,,SK02244
SK02244,,,,,3000,,,,
SK02251,,,,,0,20,,,SK02252
SK02252,,,,,1000,,,,SK02253
SK02253,,,,,2000,,,,SK02254
SK02254,,,,,3000,,,,
SK03111,,10,4,6,0,0,,,SK03112
SK03112,,9,2,6,1000,,,,SK03113
SK03113,,8,2,5,2000,,,,SK03114
SK03114,,7,2,5,3000,,,,
SK03121,,6,2,5,0,25,,,SK03122
SK03122,,6,2,5,1000,,,,SK03123
SK03123,,4,2,4,2000,,,,SK03124
SK03124,,4,2,4,3000,,,,
SK03131,,6,2,5,0,32,,,SK03132
SK03132,,6,2,5,1000,,,,SK03133
SK03133,,4,2,4,2000,,,,SK03134
SK03134,,4,2,4,3000,,,,
SK03211,,,,,0,0,,,SK03212
SK03212,,,,,1000,,,,SK03213
SK03213,,,,,2000,,,,SK03214
SK03214,,,,,3000,,,,
SK03221,,,,,0,22,,,SK03222
SK03222,,,,,1000,,,,SK03223
SK03223,,,,,2000,,,,SK03224
SK03224,,,,,3000,,,,
SK03231,,,,,0,26,,,SK03232
SK03232,,,,,1000,,,,SK03233
SK03233,,,,,2000,,,,SK03234
SK03234,,,,,3000,,,,
SK03241,,,,,0,30,,,SK03242
SK03242,,,,,1000,,,,SK03243
SK03243,,,,,2000,,,,SK03244
SK03244,,,,,3000,,,,
SK03251,,,,,0,34,,,SK03252
SK03252,,,,,1000,,,,SK03253
SK03253,,,,,2000,,,,SK03254
SK03254,,,,,3000,,,,
SK04111,,13,3,6,0,0,,,SK04112
SK04112,,12,2,6,1000,,,,SK04113
SK04113,,11,2,6,2000,,,,SK04114
SK04114,,10,2,5,3000,,,,
SK04121,,10,2,5,0,15,,,SK04122
SK04122,,9,2,5,1000,,,,SK04123
SK04123,,8,2,4,2000,,,,SK04124
SK04124,,7,2,4,3000,,,,
SK04131,,10,2,5,0,25,,,SK04132
SK04132,,9,2,5,1000,,,,SK04133
SK04133,,8,2,4,2000,,,,SK04134
SK04134,,7,2,4,3000,,,,
SK04211,,,,,0,0,,,SK04212
SK04212,,,,,1000,,,,SK04213
SK04213,,,,,2000,,,,SK04214
SK04214,,,,,3000,,,,
SK04221,,,,,0,10,,,SK04222
SK04222,,,,,1000,,,,SK04223
SK04223,,,,,2000,,,,SK04224
SK04224,,,,,3000,,,,
SK04231,,,,,0,15,,,SK04232
SK04232,,,,,1000,,,,SK04233
SK04233,,,,,2000,,,,SK04234
SK04234,,,,,3000,,,,
SK04241,,,,,0,20,,,SK04242
SK04242,,,,,1000,,,,SK04243
SK04243,,,,,2000,,,,SK04244
SK04244,,,,,3000,,,,
SK04251,,,,,0,25,,,SK04252
SK04252,,,,,1000,,,,SK04253
SK04253,,,,,2000,,,,SK04254
SK04254,,,,,3000,,,,
SK05111,,10,3,6,0,0,,,SK05112
SK05112,,10,3,6,1000,,,,SK05113
