ID,名称,描述,图标,品质,物品等级,使用等级,是否绑定,价格,自动销毁时间,属性,基础值1,强化成长值,打造成长值,附加属性,基础值2,升级成长值,打造成长值,升级至指定物品
W1011101,男主角,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011102,丛林收割者,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,,0,,,
W1011103,大雪人,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,,0,,,
W1011104,铁拳,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011107,男配角,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,1.25,
W1011201,男主角,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011202,丛林收割者,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,,0,,,
W1011203,大雪人,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,,0,,,
W1011205,思维守护者,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,,0,,,
W1011206,守护兽,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,,0,,,
W1011209,炎城首领,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011301,男主角,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011304,铁拳,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011307,男配角,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,1.25,
W1011308,双星少主,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,0.25,
W1011310,上古沙魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,4,3,
W1011401,男主角,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011405,思维守护者,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,,0,,,
W1011406,守护兽,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,,0,,,
W1011409,炎城首领,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011410,上古沙魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,4,3,
W1011501,男主角,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,2,2,
W1011508,双星少主,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,1,0.25,
W1011510,上古沙魂,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,3,0,4,3,
W1012101,太阳圣女,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1012102,沙漠毒蝎,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,0.85,
W1012103,血妖,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1.1,
W1012201,太阳圣女,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1012202,沙漠毒蝎,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,0.85,
W1012203,血妖,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1.1,
W1012204,小师妹,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,1.2,
W1012205,月亮公主,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1.05,
W1012206,黑巫师,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,1.25,
W1012207,流风湾寨主,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,1.25,
W1012208,星月使者,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1.9,
W1012209,死灵杀手,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,4,2,
W1012301,太阳圣女,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1,
W1012303,血妖,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1.1,
W1012304,小师妹,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,1.2,
W1012305,月亮公主,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,2,1.05,
W1012306,黑巫师,1,1,1,1,1,1,500,-1,2,8.4,1,0.508,4,0,1,1.25,
