物品ID - Item ID,显示名称,物品说明,美术资源,价格,品质,使用等级,最大堆叠数量,是否绑定,是否可放入仓库,是否买卖,是否可丢弃,销毁时间,物品等级,使用效果ID,
D代表道具编号,display name,,,,,,,,,,,,,,
"第1，2位表示可使用道具编号 - 1,2 can use props",限制五个字,,,,,,,1为绑定,1为是,1为是,1为是,单位毫秒,衡量物品,,
10为可使用物品 - can use,,,,,,,,0为不绑定,0为否,0为否,0为否,,的一个标准,,
11为不可使用物品 - can not use,,,,,,,,,,,,,,,
"第3，4位表示道具分类编号 - 3,4 item classification number",,,,,,,最多99,,,,,,,,
1 属性增加 - increase attribute,,,,,,,,,,,,,,,
2 体力回复 - NEG reply,,,,,,,,,,,,,,,
3 武器装备升级材料 - upgrade material,,,,,,,,,,,,,,,
4 设计图纸 - design drawings,,,,,,,,,,,,,,,
5 宝箱 - treasure chest,,,,,,,,,,,,,,,
6 钥匙 - keys,,,,,,,,,,,,,,,
7 无属性物品 - no attribute item,,,,,,,,,,,,,,,
8 任务物品 - task item,,,,,,,,,,,,,,,
9 活动物品 - activity item,,,,,,,,,,,,,,,
10 人物技能书 - Skill book,,,,,,,,,,,,,,,
11 宠物技能书 - pet skill book,,,,,,,,,,,,,,,
12 宠物碎片,,,,,,,,,,,,,,,
"第5.6位表示相同物品分类 - 4,5 item classification",,,,,,,,Binding?,can be put in storage?,buy or sell?,can be discarded?,destroyed with time?,item level,,
"第7.8位表示物品序号 - 6,7 item number",,Item description,Art resource,Price,Quality,Use Level,Max objects,1:yes,1:yes,1:yes,1:yes,(in milliseconds),measure items,,
,,,,,,,up to 99,0:no,0:no,0:no,0:no,,one standard,,
,,,,,,,,,,,,,,,
D10030101,次级溶解剂,武器升级的必需品，用来调和能量波动,D10030101,20,,1,99,1,1,1,1,-1,,,
D10030102,中级溶解剂,武器升级的必需品，用来调和能量波动,D10030102,20,,1,99,1,1,1,1,-1,,,
D10030103,高级溶解剂,武器升级的必需品，用来调和能量波动,D10030103,20,,1,99,1,1,1,1,-1,,,
D10030104,风速精华,携带风能量的晶体，常被用来升级武器,D10030104,20,,1,99,1,1,1,1,-1,,,
D10030105,坚韧结晶,携带神秘能量的晶体，常被用来升级武器,D10030105,20,,1,99,1,1,1,1,-1,,,
D10030106,不灭精华,携带风能量的晶体，常被用来升级武器,D10030106,20,,1,99,1,1,1,1,-1,,,
D10030107,幻影之尘,携带暗能量的晶体，常被用来升级武器,D10030107,20,,1,99,1,1,1,1,-1,,,
D10030108,源泉精华,携带生命能量的晶体，常被用来升级武器,D10030108,20,,1,99,1,1,1,1,-1,,,
D10030109,冰霜结晶,携带寒冰能量的晶体，常被用来升级武器,D10030109,20,,1,99,1,1,1,1,-1,,,
D10030110,焰火之心,携带火焰能量的晶体，常被用来升级武器,D10030110,20,,1,99,1,1,1,1,-1,,,
D10030111,大地结晶,携带土能量的晶体，常被用来升级武器,D10030111,20,,1,99,1,1,1,1,-1,,,
D10030112,腐毒之球,携带毒能量的晶体，常被用来升级武器,D10030112,20,,1,99,1,1,1,1,-1,,,
D10030113,幸运结晶,携带一种神秘能量的晶体，常备用来升级武器,D10030113,20,,1,99,1,1,1,1,-1,,,
D10030114,魔力之尘,携带一种神秘能量晶体，常备用来升级武器,D10030114,20,,1,99,1,1,1,1,-1,,,
D10040101,初级藏宝图,进入神秘副本必备，需要碎片合成,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040102,中级藏宝图,进入神秘副本必备，需要碎片合成,D10040101,20,,1,99,1,1,1,1,-1,,,
D10040103,远古藏宝图,进入神秘副本必备，需要碎片合成,D10040101,20,,1,99,1,1,1,1,-1,,,
