127.0.0.1 345 - [Mon, 10 Mar 2014 10:15:31 GMT] "GET /shared/data.js HTTP/1.1" 200 10533 "http://localhost:9090/task" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" 10533
127.0.0.1 65 - [Mon, 10 Mar 2014 10:15:53 GMT] "GET /shared/data.js HTTP/1.1" 304 - "http://localhost:9090/task" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 231 - [Mon, 10 Mar 2014 10:15:53 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/task" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 6 - [Mon, 10 Mar 2014 10:16:40 GMT] "GET /shared/data.js HTTP/1.1" 304 - "http://localhost:9090/task" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 9 - [Mon, 10 Mar 2014 10:16:40 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/task" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 21 - [Tue, 11 Mar 2014 01:53:52 GMT] "GET /shared/model/Hero.js HTTP/1.1" 304 - "http://localhost:9090/forgeUpgrade" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 51 - [Tue, 11 Mar 2014 01:53:52 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/forgeUpgrade" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 513 - [Wed, 12 Mar 2014 04:55:57 GMT] "GET /gm/images/favicon.ico HTTP/1.1" 404 124 "-" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" 124
127.0.0.1 87 - [Wed, 12 Mar 2014 04:56:21 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/gm/index" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 1719 - [Wed, 12 Mar 2014 13:19:48 GMT] "GET /shared/model/Hero.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 189 - [Wed, 12 Mar 2014 13:19:49 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 20 - [Wed, 12 Mar 2014 13:24:02 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 22 - [Wed, 12 Mar 2014 13:24:02 GMT] "GET /shared/model/Hero.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 20 - [Wed, 12 Mar 2014 13:28:02 GMT] "GET /shared/model/Hero.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 26 - [Wed, 12 Mar 2014 13:28:02 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 13 - [Wed, 12 Mar 2014 13:28:51 GMT] "GET /shared/model/Hero.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 24 - [Wed, 12 Mar 2014 13:28:51 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 68 - [Wed, 12 Mar 2014 13:29:39 GMT] "GET /shared/model/Hero.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 69 - [Wed, 12 Mar 2014 13:29:39 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 75 - [Wed, 12 Mar 2014 13:30:31 GMT] "GET /shared/data.js HTTP/1.1" 304 - "http://localhost:9090/task" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
127.0.0.1 83 - [Wed, 12 Mar 2014 13:30:31 GMT] "GET /shared/formula.js HTTP/1.1" 304 - "http://localhost:9090/equipmentV2" "Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" -
